Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Add:         00160KA Bypass Cereb Vent to Subgaleal w Nonaut Sub, Open            Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Open Approach
Add:         001637A Bypass Cereb Vent to Subgaleal with Autol Sub, Perc Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Percutaneous Approach
Add:         00163JA Bypass Cereb Vent to Subgaleal with Synth Sub, Perc Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Percutaneous Approach
Add:         00163KA Bypass Cereb Vent to Subgaleal w Nonaut Sub, Perc            Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Percutaneous Approach
Add:         001647A Bypass Cereb Vent to Subgaleal w Autol Sub, Perc Endo        Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         00164JA Bypass Cereb Vent to Subgaleal w Synth Sub, Perc Endo        Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         00164KA Bypass Cereb Vent to Subgaleal w Nonaut Sub, Perc Endo       Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         021W08A Bypass Thor Aorta Desc to Innom Art w Zooplastic, Open       Bypass Thoracic Aorta, Descending to Innominate Artery with Zooplastic Tissue, Open Approach
Add:         021W09A Bypass Thor Aorta Desc to Innom Art w Autol Vn, Open         Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Venous Tissue, Open Approach
Add:         021W0AA Bypass Thor Aorta Desc to Innom Art w Autol Art, Open        Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Arterial Tissue, Open Approach
Add:         021W0JA Bypass Thor Aorta Desc to Innom Art w Synth Sub, Open        Bypass Thoracic Aorta, Descending to Innominate Artery with Synthetic Substitute, Open Approach
Add:         021W0KA Bypass Thor Aorta Desc to Innom Art w Nonaut Sub, Open       Bypass Thoracic Aorta, Descending to Innominate Artery with Nonautologous Tissue Substitute, Open Approach
Add:         021W0ZA Bypass Thor Aorta Desc to Innom Art, Open Approach           Bypass Thoracic Aorta, Descending to Innominate Artery, Open Approach
Add:         021W48A Bypass Thor Aorta Desc to Innom Art w Zooplastic, Perc Endo  Bypass Thoracic Aorta, Descending to Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021W49A Bypass Thor Aorta Desc to Innom Art w Autol Vn, Perc Endo    Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Add:         021W4AA Bypass Thor Aorta Desc to Innom Art w Autol Art, Perc Endo   Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
